ramp_deg,accel_mps2,torque_nm_each,wheel_rpm
0,0.0,0.471,238.7
0,0.25,0.771,238.7
0,0.5,1.071,238.7
0,1.0,1.671,238.7
0,4.5,5.871,238.7
5,0.0,1.495,238.7
5,0.25,1.795,238.7
5,0.5,2.095,238.7
5,1.0,2.695,238.7
5,4.5,6.895,238.7
10,0.0,2.507,238.7
10,0.25,2.807,238.7
10,0.5,3.107,238.7
10,1.0,3.707,238.7
10,4.5,7.907,238.7
15,0.0,3.5,238.7
15,0.25,3.8,238.7
15,0.5,4.1,238.7
15,1.0,4.7,238.7
15,4.5,8.9,238.7
20,0.0,4.467,238.7
20,0.25,4.767,238.7
20,0.5,5.067,238.7
20,1.0,5.667,238.7
20,4.5,9.867,238.7
